Commit_SHA,Parent_SHA,File_Path,File_Name,Tool,Status,Normalized_CC_Before,Normalized_CC_After,Normalized_HV_Before,Normalized_HV_After,Comment_Ratio_Before,Comment_Ratio_After,Comment_Readability_Before,Comment_Readability_After,Style_Conformance_Score_Before,Style_Conformance_Score_After,Clone_Density_Before,Clone_Density_After
49cd79581fe93c2e620cb90e68c72779ed8d5706,e593ef58fcdd4eced8abc083addfcd8dd9e786c8,__COMMIT_TOTAL__,__COMMIT_TOTAL__,ALL,SUMMARY,0.1226,0.0926,39.6237,51.0503,0.0052,0.0039,40.03,48.77,,,,
64130eacea59c5f95fce454aa5b1a30e84aa0b98,2b92c35faf02480c5e57cb57a2666d41c1f6f273,build.gradle,build.gradle,Gradle,modified,0.0234,0.0234,58.5289,58.1131,0.015,0.015,30.16,30.16,0.98,0.98,0.0,0.0
64130eacea59c5f95fce454aa5b1a30e84aa0b98,2b92c35faf02480c5e57cb57a2666d41c1f6f273,__COMMIT_TOTAL__,__COMMIT_TOTAL__,ALL,SUMMARY,0.0234,0.0234,58.5289,58.1131,0.015,0.015,30.16,30.16,,,,
3b4c4f5a5147304d8b16a11ee4c90bcc784a0894,59b0f69ba734388f84c93327ebd12bb27172f4a1,App/build.gradle,build.gradle,Gradle,modified,0.0444,0.049,46.7877,40.7324,0.0248,0.0065,59.92,60.1,0.21,0.36,0.0,0.094
3b4c4f5a5147304d8b16a11ee4c90bcc784a0894,59b0f69ba734388f84c93327ebd12bb27172f4a1,__COMMIT_TOTAL__,__COMMIT_TOTAL__,ALL,SUMMARY,0.0444,0.049,46.7877,40.7324,0.0248,0.0065,59.92,60.1,,,,
c9f9fde75f95eab90c01e1e088710668c9882f83,caca583ad306246083e573d7bab4dc2ec41650a9,app/build.gradle,build.gradle,Gradle,modified,0.0115,0.0119,64.26,62.0509,0.0,0.0,43.24,43.24,0.99,0.99,0.139,0.079
c9f9fde75f95eab90c01e1e088710668c9882f83,caca583ad306246083e573d7bab4dc2ec41650a9,__COMMIT_TOTAL__,__COMMIT_TOTAL__,ALL,SUMMARY,0.0115,0.0119,64.26,62.0509,0.0,0.0,43.24,43.24,,,,
14c1e8d7187820d5cf4fc2aeb33b83ce71d48ba8,78945f82d2cc3531b968e2b689ebd77c79d1de57,build.gradle,build.gradle,Gradle,modified,0.0267,0.0267,69.7959,69.8185,0.0633,0.0629,29.73,43.68,0.98,0.98,0.0,0.0
14c1e8d7187820d5cf4fc2aeb33b83ce71d48ba8,78945f82d2cc3531b968e2b689ebd77c79d1de57,__COMMIT_TOTAL__,__COMMIT_TOTAL__,ALL,SUMMARY,0.0267,0.0267,69.7959,69.8185,0.0633,0.0629,29.73,43.68,,,,
3c3cbe3527bf79593c7b67e38f718e46e3b02528,6231655f961637701adc4672be2eed08e4cacef1,android/build.gradle,build.gradle,Gradle,modified,0.1111,0.1339,36.0297,42.6489,0.0851,0.0143,16.06,-14.26,1.0,0.45,0.0,0.0
